u,g,i,r,z,CLASS
20.3839,18.2868,17.346,16.9032,16.5434,GALAXY
19.8185,17.8443,16.941,16.5241,16.2001,GALAXY
25.1745,21.2057,20.4289,20.2338,19.9741,STAR
20.4959,19.4544,19.1002,18.8213,18.7591,GALAXY
25.6818,22.2264,20.5145,19.712,19.3625,GALAXY
21.064,19.3444,18.5773,18.1973,17.8776,GALAXY
21.2625,19.6063,18.83,18.4681,18.1569,GALAXY
21.1871,19.646,18.863,18.4311,18.1419,GALAXY
24.2892,21.5407,19.9259,19.2484,18.9118,GALAXY
21.1742,19.619,18.711,18.2981,17.933,GALAXY
21.0851,19.5463,18.7681,18.3365,18.0154,GALAXY
20.5574,19.1081,18.391,17.9201,17.591,GALAXY
21.6718,19.8329,19.1897,18.9052,18.8121,STAR
20.1799,18.0732,17.154,16.6811,16.2771,GALAXY
21.8757,19.9369,18.8849,18.2698,17.8839,GALAXY
22.2926,20.468,19.026,18.2751,17.867,STAR_LATE
20.2804,18.301,17.383,16.9501,16.6111,GALAXY
24.2496,21.0314,20.2917,20.0114,19.8723,STAR
21.6054,20.0919,19.2839,18.8987,18.5396,GALAXY
20.4326,18.9842,18.4264,18.0369,17.8182,GALAXY
23.4402,21.2414,19.702,18.8689,18.7176,GALAXY
21.3234,19.781,18.8819,18.3761,18.0349,GALAXY
23.9631,21.5815,19.8599,19.2048,18.8204,GALAXY
19.6167,18.399,17.994,17.8281,17.758,STAR
20.8054,18.7472,17.7181,17.2805,16.8575,GALAXY
20.6975,19.2536,18.5448,18.1054,17.8321,GALAXY
19.586,17.7554,16.8611,16.4371,16.0962,GALAXY
21.3043,19.8309,19.108,18.7292,18.533,GALAXY
21.4138,21.1952,20.3468,21.3599,20.3853,GALAXY
25.2569,22.445,20.9771,19.0662,17.9753,STAR_LATE
19.3286,19.157,18.979,18.9152,18.9326,QSO
25.6542,22.3499,20.6403,19.9531,19.5208,GALAXY
19.7832,18.7648,18.017,17.4872,17.3124,QSO
20.641,18.835,17.9961,17.6052,17.2984,GALAXY
21.9219,19.9146,18.7178,18.2394,17.8761,GALAXY
21.2868,19.2004,18.0001,17.5361,17.2061,GALAXY
21.9362,21.0314,20.4297,20.2747,20.0469,QSO
24.8393,23.2853,21.5433,19.466,18.3069,STAR_LATE
19.039,18.7834,18.5891,18.5351,18.4098,QSO
20.9181,19.7787,19.0394,18.6165,18.3756,GALAXY
20.3839,18.5858,17.7155,17.2875,16.9688,GALAXY
20.4456,20.3763,20.3728,20.1826,20.0654,QSO
21.481,19.7677,18.7844,18.3645,18.0417,GALAXY
18.6404,17.4752,17.4702,17.5173,17.6034,STAR
23.4996,21.0047,19.3292,18.7193,18.3342,GALAXY
22.2823,20.3996,19.3299,18.7665,18.319,GALAXY
21.6294,19.5419,18.5555,18.0965,17.7878,GALAXY
19.6855,18.4118,17.8709,17.6835,17.5702,STAR
23.2266,22.2385,20.4132,19.7543,19.3402,GALAXY
22.5649,20.3649,19.1046,18.6056,18.2218,GALAXY
21.2798,19.3501,18.2601,17.8113,17.4414,GALAXY
22.0865,19.6782,18.2222,17.1833,16.6425,STAR_LATE
20.9724,19.7929,18.9635,18.5085,18.2637,GALAXY
21.2808,19.5131,18.6891,18.2743,17.9323,GALAXY
20.616,19.6307,19.1579,18.9194,18.7387,GALAXY
20.6584,19.6171,19.1216,18.7766,18.5966,GALAXY
21.7414,20.3418,19.6965,19.3204,19.016,GALAXY
22.2668,20.8145,19.2715,18.7375,18.3866,GALAXY
21.7355,19.3669,17.9066,16.9035,16.3669,STAR_LATE
17.8737,16.235,15.3031,15.5192,15.4634,STAR
21.2605,20.1154,19.1195,18.6469,18.2989,GALAXY
21.9522,19.3897,17.9465,16.7445,16.0777,STAR_LATE
22.4426,20.4949,19.157,18.6198,18.2409,GALAXY
21.3016,19.9057,18.8615,18.3895,18.0785,GALAXY
21.7556,19.6337,18.4565,17.9975,17.6416,GALAXY
23.1398,20.4539,19.8735,19.6094,19.422,STAR
21.5335,19.4106,19.2725,19.2749,19.1729,HIZ_QSO
21.1143,19.2183,18.2212,17.7217,17.3045,GALAXY
19.7942,19.2074,19.1424,19.0268,18.8823,GALAXY
20.8056,19.0846,18.1744,17.7345,17.3806,GALAXY
23.6697,21.5556,19.7845,19.1135,18.7075,GALAXY
21.25,19.777,19.1156,18.7486,18.5506,GALAXY
21.8398,20.0316,19.2805,18.8859,18.5987,GALAXY
19.6231,19.1375,19.0833,19.1173,19.2152,STAR
22.2269,20.1972,18.8863,18.3544,17.9894,GALAXY
20.0369,19.6501,19.6896,19.5944,19.5633,QSO
20.0042,18.7652,18.1412,17.8123,17.5464,GALAXY
25.7747,21.767,20.819,20.5537,20.7396,STAR
21.8091,20.213,19.0906,18.6026,18.2288,GALAXY
19.7393,19.1992,19.26,19.376,19.444,STAR
20.8552,19.1189,18.2006,17.6874,17.3045,GALAXY
21.5031,19.856,19.1007,18.5634,18.2793,GALAXY
19.2472,17.5652,16.691,16.2391,15.8721,GALAXY
20.5356,19.3131,18.726,18.3361,18.078,GALAXY
21.1835,19.3302,18.3481,17.9031,17.5791,GALAXY
21.5722,20.0073,19.3551,18.8755,18.5152,GALAXY
18.2649,17.3265,16.9926,16.869,16.7913,STAR
18.9865,17.9921,17.7217,17.5915,17.5785,STAR
23.3211,21.521,19.7711,19.1465,18.759,GALAXY
20.7615,18.9432,18.0811,17.6551,17.3331,GALAXY
21.4172,19.3024,18.2982,17.8656,17.4636,GALAXY
21.1116,19.7351,19.024,18.6141,18.2789,GALAXY
24.6346,23.2469,21.4717,19.8079,19.5745,STAR_LATE
20.8484,18.7492,17.6421,17.1661,16.7642,GALAXY
23.7723,22.4007,20.6322,20.096,19.7806,GALAXY
21.4076,20.1452,19.2474,18.7759,18.456,GALAXY
21.5253,19.6559,18.6097,18.1381,17.7552,GALAXY
20.4034,19.0669,18.3047,17.8141,17.5352,GALAXY
19.9248,18.8567,18.2905,17.8295,17.6586,GALAXY
20.1089,18.1058,17.1105,16.6909,16.3277,GALAXY
20.6041,19.1424,18.3182,17.826,17.5512,GALAXY
20.9625,19.0894,18.1752,17.766,17.4162,GALAXY
21.0195,18.9759,17.9097,17.4641,17.1102,GALAXY
23.8309,20.691,19.995,19.7377,19.6023,STAR
21.0521,19.6999,18.9455,18.5609,18.3485,GALAXY
20.0103,18.8218,18.3076,17.965,17.8261,GALAXY
23.3649,20.9411,19.8133,19.2587,18.8519,STAR_LATE
18.7961,17.8388,17.4685,17.3559,17.2757,STAR
22.9363,21.6102,19.9616,19.344,18.9464,GALAXY
20.8615,18.8389,17.8276,17.4129,17.0178,GALAXY
20.5178,19.3968,19.1205,18.8855,18.854,GALAXY
18.1765,16.2438,15.4257,15.094,14.9012,STAR
23.4812,21.5382,19.9773,19.3624,18.9208,GALAXY
21.1122,19.6769,18.8337,18.396,18.0521,GALAXY
21.4866,18.6649,17.2877,16.6351,16.2253,STAR_LATE
21.3722,19.7941,18.7868,18.2505,17.8485,GALAXY
23.5959,21.4092,19.863,19.2691,18.9514,GALAXY
21.3005,20.0003,19.5861,19.3321,19.144,GALAXY
20.0736,18.9754,18.4631,18.1482,17.9781,GALAXY
20.9743,19.8382,19.416,19.0351,18.8994,GALAXY
24.9987,21.9143,20.0619,19.3401,18.9993,GALAXY
22.5522,20.6419,19.9526,19.5194,19.303,GALAXY
23.7432,20.9181,19.2062,18.5966,18.2274,GALAXY
19.4683,19.1455,18.8562,18.7836,18.6162,QSO
19.6935,17.7083,16.7991,16.3692,16.0122,GALAXY
20.5819,18.724,17.7397,17.2135,16.8025,GALAXY
20.8997,19.3124,18.3761,17.7862,17.4612,GALAXY
21.4684,19.4903,18.4991,18.0682,17.7261,GALAXY
23.2779,21.2405,19.5521,18.9701,18.5268,GALAXY
21.6648,19.8655,18.8092,18.3236,17.9765,GALAXY
22.807,21.6055,19.9217,19.2592,18.8382,GALAXY
23.5255,21.7231,20.2305,19.5933,19.2062,GALAXY
21.1748,19.5263,18.6221,18.1961,17.8721,GALAXY
21.2843,19.9682,19.479,19.2101,18.9853,GALAXY
20.6979,19.5664,19.1612,18.8909,18.7137,GALAXY
21.2548,19.128,18.1826,17.751,17.4318,GALAXY
21.5307,19.69,18.4938,18.0271,17.6532,GALAXY
19.3341,18.2756,18.1793,18.216,18.1981,STAR
21.4321,19.8131,18.9257,18.5476,18.2695,GALAXY
20.4742,19.516,19.1276,18.8995,18.7891,GALAXY
21.3729,20.296,19.8477,19.588,19.3844,GALAXY
21.2584,19.4721,18.3029,17.8111,17.4603,GALAXY
20.2746,19.0921,18.5856,18.335,18.1307,GALAXY
16.6573,15.5342,15.4677,15.493,15.5279,STAR
20.4148,20.2859,20.0966,20.1137,20.0458,QSO
20.6139,19.5821,18.9998,18.6251,18.398,GALAXY
21.8646,20.6248,19.8777,19.507,19.3575,GALAXY
23.8719,23.685,22.8929,20.4661,18.6503,STAR_LATE
21.5484,19.5551,18.6607,18.2336,17.9286,GALAXY
21.369,19.8581,19.0108,18.5041,18.1431,GALAXY
21.6567,19.854,18.8758,18.3831,18.0521,GALAXY
21.1209,19.6649,18.6885,18.1559,17.7427,GALAXY
20.7792,18.9346,18.0343,17.667,17.3703,GALAXY
21.0465,19.6654,18.9141,18.4672,18.204,GALAXY
20.3988,19.4423,19.1578,18.8395,18.785,GALAXY
24.806,21.5531,19.8402,19.1976,18.7831,GALAXY
21.4829,19.8452,18.8778,18.4405,18.1175,GALAXY
21.7772,19.8523,18.6981,18.2082,17.8661,GALAXY
19.8786,17.9534,17.0321,16.6032,16.2842,GALAXY
20.1259,18.9475,18.2602,17.7692,17.4842,GALAXY
21.834,19.8774,18.6372,18.1172,17.7592,GALAXY
22.2759,20.1473,18.8971,18.4062,18.0321,GALAXY
21.4664,19.6974,18.7199,18.3266,18.0545,GALAXY
21.527,19.6214,18.7699,18.3166,18.0225,GALAXY
20.0488,18.6784,18.0542,17.6912,17.4782,GALAXY
20.8701,19.6532,19.3578,19.0735,18.9847,GALAXY
24.2511,21.6244,19.8966,19.2854,18.9987,GALAXY
21.5672,20.2603,19.7581,19.4931,19.3445,GALAXY
21.9997,20.3124,19.5831,19.2021,18.9035,GALAXY
19.9908,18.7524,18.1182,17.7652,17.4912,GALAXY
21.9327,19.7995,18.6472,18.1432,17.8032,GALAXY
21.1266,19.2892,18.3009,17.8783,17.5278,GALAXY
23.1736,21.4634,19.8482,19.1556,18.7601,GALAXY
20.6397,19.5555,18.9512,18.5672,18.35,GALAXY
22.9522,21.2206,19.8217,18.8773,18.5543,STAR_LATE
22.1817,19.8137,18.6804,18.2101,17.8633,GALAXY
18.6139,17.8369,18.1945,18.1171,18.0773,GALAXY
19.9626,18.6934,18.028,17.6304,17.3759,GALAXY
20.284,19.2639,18.8604,18.6027,18.4265,GALAXY
21.8069,19.87,18.7269,18.2542,17.8944,GALAXY
20.9228,19.2311,18.4165,17.9838,17.6788,GALAXY
19.4023,18.2794,17.859,17.7302,17.6423,STAR
20.7257,20.2705,20.1038,20.1348,20.2064,STAR
20.9643,19.0728,18.1774,17.7691,17.4643,GALAXY
21.5451,19.6621,18.4279,17.9622,17.5925,GALAXY
20.8809,19.2973,18.4609,17.9422,17.6113,GALAXY
23.1974,21.3742,19.6869,19.0531,18.6888,GALAXY
21.9289,20.387,19.0557,18.548,18.1977,GALAXY
21.8303,19.9467,18.9534,18.5041,18.1682,GALAXY
19.6829,18.6593,18.3519,18.2092,18.2082,STAR
21.0861,19.121,18.087,17.6256,17.2656,GALAXY
22.028,19.6015,18.1024,17.1347,16.5693,STAR_LATE
21.0841,19.7083,18.9043,18.4962,18.1774,GALAXY
20.9362,19.9838,19.3419,19.0026,18.8039,GALAXY
21.4417,19.2868,18.1625,17.7154,17.3937,GALAXY
20.2135,19.0229,18.5357,18.2333,18.0796,GALAXY
21.3393,19.7192,18.8161,18.3011,17.9812,GALAXY
20.5423,19.3625,18.7654,18.3897,18.1631,GALAXY
22.7637,20.569,19.2341,18.6771,18.3381,GALAXY
22.9428,20.7572,19.5204,19.0017,18.6299,GALAXY
19.6474,19.4593,19.4433,19.2116,18.9145,QSO
22.4244,21.0562,19.7537,19.2435,18.8189,GALAXY
21.3648,19.7457,18.8276,18.3302,17.9426,GALAXY
24.0824,21.7809,20.1357,19.4411,19.0298,GALAXY
24.4203,21.2736,20.556,20.3241,20.0251,STAR
24.4729,22.2032,20.8455,20.0299,19.5629,STAR_LATE
18.5613,18.4539,18.2289,18.2476,18.3023,QSO
24.8263,21.0527,20.3946,20.1957,19.9781,STAR
20.8414,19.5839,18.9649,18.6046,18.3823,GALAXY
22.0605,20.1225,18.9905,18.5062,18.0845,GALAXY
20.7196,19.5597,19.1336,18.7942,18.6003,GALAXY
22.3265,19.8256,18.4275,17.3502,16.7957,STAR_LATE
21.0361,19.2737,18.394,18.0282,17.712,GALAXY
21.6712,19.6247,18.451,17.9768,17.6289,GALAXY
20.5692,20.0566,20.1248,20.2663,20.3926,STAR
21.1966,19.1276,18.164,17.7108,17.3909,GALAXY
20.328,19.8277,19.8655,19.652,19.5989,QSO
21.27,19.95,19.1828,18.7773,18.5065,GALAXY
20.3625,20.1067,19.914,19.6611,19.5954,QSO
21.335,19.6476,18.659,18.1938,17.8248,GALAXY
20.6055,19.9094,19.3908,19.0077,18.936,QSO
21.2319,19.2478,18.1701,17.6893,17.2752,GALAXY
19.7908,19.0968,18.8361,18.4372,18.4668,GALAXY
20.4768,20.4348,20.19,20.3007,20.3783,QSO
21.7742,20.0466,18.839,18.3598,17.9918,GALAXY
21.4332,20.2364,19.6098,19.2661,19.0231,GALAXY
23.7722,21.8431,19.9999,19.3701,19.0631,GALAXY
20.8449,19.2399,18.4276,17.9931,17.6923,GALAXY
21.6236,19.7308,18.6765,18.2068,17.8628,GALAXY
19.7273,18.1207,17.6114,17.3198,17.0568,STAR
21.5276,19.6799,18.6695,18.2849,17.9608,GALAXY
19.5577,19.3962,19.359,19.1211,19.1252,QSO
24.014,21.8475,19.9999,19.335,18.9585,GALAXY
21.3851,20.0398,19.4186,19.0971,18.8027,GALAXY
21.0412,19.5258,18.7406,18.3471,18.0842,GALAXY
20.2802,19.9723,19.6963,19.2806,19.1251,QSO
20.1323,19.1464,18.3934,17.9197,17.6532,GALAXY
19.793,19.3892,19.1973,18.8626,18.8915,QSO
20.8776,19.7261,19.677,19.7649,19.83,STAR
22.8749,20.6527,19.1455,18.5999,18.2557,GALAXY
21.4232,20.0062,19.0713,18.6266,18.276,GALAXY
22.7481,22.3308,20.5599,19.5735,19.143,GALAXY
21.6164,19.9223,18.9514,18.5107,18.1891,GALAXY
21.3102,20.2992,19.9442,19.7305,19.681,GALAXY
20.6068,18.0147,16.8764,16.4578,16.2639,STAR
22.2074,20.0342,18.6631,18.1401,17.8073,GALAXY
21.5118,19.7773,18.7284,18.2771,17.9774,GALAXY
22.668,20.5253,18.9837,18.4215,18.0513,GALAXY
20.6536,20.2964,19.8946,19.6773,19.5628,QSO
21.8969,20.191,18.7863,18.234,17.8764,GALAXY
24.7138,22.1888,20.4185,19.5504,19.1114,GALAXY
19.4866,19.3824,19.1584,19.27,19.3259,QSO
20.3043,20.0334,19.8643,19.57,19.7697,QSO
20.9052,20.5893,20.4933,20.5765,20.8164,STAR
22.7523,21.2698,19.5537,18.9535,18.5521,GALAXY
21.3684,19.4571,18.3227,17.8576,17.5447,GALAXY
22.0222,20.274,19.2417,18.7316,18.3605,GALAXY
19.6164,18.567,18.1942,17.8809,17.7633,GALAXY
21.045,19.6072,18.8767,18.4626,18.2266,GALAXY
21.8903,19.8583,18.6784,18.1931,17.8254,GALAXY
24.6974,21.6624,20.0166,19.4035,19.0937,GALAXY
23.0256,21.0485,19.3237,18.7136,18.3505,GALAXY
20.3773,19.386,19.1206,18.9095,18.8151,GALAXY
21.4985,19.6571,18.6583,18.211,17.8684,GALAXY
20.0589,20.0555,19.7093,19.7375,19.8156,QSO
20.2821,19.962,19.8289,19.6049,19.6263,QSO
18.2575,17.2457,16.8934,16.7738,16.7358,STAR
19.6983,18.5831,18.013,17.6181,17.3473,GALAXY
23.1538,22.2282,20.404,19.6256,19.2015,GALAXY
20.5571,20.7495,20.4442,20.4543,20.6505,QSO
20.9115,19.6908,19.3395,19.081,18.8916,GALAXY
20.2109,19.92,19.7379,19.4079,19.2089,QSO
20.9183,19.3367,18.4654,18.0628,17.7848,GALAXY
21.6907,21.1869,20.8247,20.3192,19.8146,QSO
21.7241,20.8676,19.9508,19.3549,18.9235,STAR_LATE
20.3103,19.3788,19.1085,18.8801,18.8097,GALAXY
19.4447,18.5211,17.9503,17.5226,17.2592,GALAXY
18.8988,17.0471,16.1403,15.6736,15.2792,GALAXY
20.065,19.765,19.7279,19.4949,19.6721,QSO
25.47,22.2254,20.556,19.7276,19.371,GALAXY
22.0511,21.0205,20.4237,20.1296,20.0458,GALAXY
21.2095,21.2768,20.541,20.7923,20.5484,QSO
21.3399,19.5611,18.459,18.0151,17.7082,GALAXY
21.5668,19.7592,18.6336,18.1744,17.8623,GALAXY
20.7727,20.5221,20.4852,20.2878,20.3931,QSO
23.1998,22.0204,20.9268,20.4108,20.3219,STAR
21.5662,18.9024,17.9916,17.6174,17.4614,STAR
21.4723,20.1279,19.3791,18.9749,18.6539,GALAXY
20.4805,18.5844,17.5646,17.0725,16.7514,GALAXY
20.9178,19.6544,18.8986,18.4584,18.1313,GALAXY
20.6732,18.9534,17.9396,17.4844,17.1464,GALAXY
23.1176,21.8774,20.5249,19.0629,18.7948,STAR_LATE
21.5405,19.9158,19.2141,18.8739,18.7318,GALAXY
20.9014,19.115,18.2182,17.8569,17.5623,GALAXY
21.1238,19.886,19.2991,18.9279,18.6799,GALAXY
19.8595,19.011,18.8466,18.6586,18.6442,GALAXY
21.5935,19.452,18.3972,17.9739,17.6883,GALAXY
19.6424,18.374,17.8592,17.6659,17.5963,STAR
21.3141,20.0859,19.8171,19.7127,19.6185,STAR
19.9199,18.6689,18.0081,17.6879,17.4623,GALAXY
20.3179,19.0457,18.4255,18.045,17.8192,GALAXY
24.1259,23.3736,21.8951,19.7185,18.6693,STAR_LATE
20.6697,18.6847,17.7005,17.2691,16.9403,GALAXY
20.2608,18.3216,17.6173,17.2728,17.0368,GALAXY
25.3913,22.7906,20.9816,19.8888,19.8864,STAR_LATE
23.8105,22.7419,21.0524,20.1406,19.6064,GALAXY
21.1982,20.5573,20.5759,20.6935,20.3602,HIZ_QSO
19.8246,19.6404,19.2612,19.1476,19.2573,QSO
21.1274,19.6096,18.7444,18.1653,17.7942,GALAXY
20.4273,20.2003,20.0761,19.9704,20.1696,QSO
22.9582,21.6267,19.8232,19.1806,18.881,GALAXY
21.3124,20.056,19.4312,19.0596,18.9144,GALAXY
21.2897,19.7329,18.7429,18.323,17.9691,GALAXY
23.5842,21.8275,20.1368,19.5119,19.0722,GALAXY
20.3109,18.264,17.172,16.599,16.0833,GALAXY
21.055,19.2317,18.2935,17.8811,17.5362,GALAXY
19.7649,19.5909,19.3359,19.3259,19.4013,QSO
17.9784,17.354,17.6632,17.9216,18.119,STAR
19.4406,18.6912,18.5689,18.6781,18.5583,GALAXY
20.6668,19.1199,18.449,18.542,18.0992,STAR
17.4243,16.5202,16.1685,16.0474,15.9964,STAR
22.3341,20.075,18.6604,18.1473,17.8092,GALAXY
21.7819,19.9122,18.7726,18.3044,17.9493,GALAXY
23.3735,21.736,20.0383,19.3783,18.8587,GALAXY
20.1753,18.8813,18.2496,17.8914,17.6363,GALAXY
22.9231,21.4337,19.8599,19.254,18.8537,GALAXY
20.2549,20.2051,20.2113,19.9241,19.8984,QSO
22.2117,19.9011,18.6465,18.1784,17.7913,GALAXY
21.297,19.3915,18.2539,17.7938,17.4592,GALAXY
21.9666,19.5403,18.1086,17.1844,16.6874,STAR_LATE
21.6088,19.46,17.9904,16.6923,15.9803,STAR_LATE
19.6406,17.7627,16.905,16.5388,16.2133,GALAXY
23.6087,22.7365,21.3676,19.4123,18.2841,STAR_LATE
20.9499,19.6128,19.0511,18.7259,18.5889,GALAXY
21.904,19.7548,18.4171,17.4829,16.9733,STAR_LATE
20.7744,19.5255,18.8439,18.4788,18.198,GALAXY
19.8877,19.892,19.6164,19.5442,19.485,QSO
20.0572,18.854,18.2652,17.9956,17.7541,GALAXY
23.1369,21.2273,19.4402,18.8206,18.4089,GALAXY
22.1111,20.3608,19.3833,18.9382,18.5949,GALAXY
23.7397,21.208,20.6796,20.4308,20.4182,STAR
20.633,19.6786,19.3358,19.0689,19.0173,GALAXY
24.8049,21.6071,20.9055,20.5643,20.4856,STAR
22.9048,21.8184,20.0652,19.3642,18.9524,GALAXY
19.6166,19.2466,19.3048,19.2439,19.2627,QSO
21.1706,20.0129,19.7251,19.6784,19.5754,STAR
21.3281,19.4329,18.3304,17.8833,17.5203,GALAXY
19.3539,18.1834,18.0468,18.0017,17.99,STAR
23.2273,20.4281,19.1517,18.6456,18.2668,GALAXY
22.4001,19.9813,18.9758,18.5457,18.2849,STAR
21.6346,19.1794,17.6678,16.7317,16.1991,STAR_LATE
20.6934,20.0707,20.1221,20.0009,19.7148,HIZ_QSO
20.9946,18.8254,17.4798,16.2717,15.6391,STAR_LATE
20.4041,19.2259,18.6564,18.3163,18.1061,GALAXY
23.6987,21.8871,20.1462,19.5071,19.1581,GALAXY
19.5992,19.0635,18.8909,18.9827,18.8665,QSO
20.8899,20.5876,20.3988,19.9732,20.092,QSO
