u,g,i,r,z,CLASS
21.5173,19.2287,17.8032,16.5832,15.9512,STAR_LATE
19.9058,19.6178,19.2901,18.3625,17.638,STAR_LATE
19.6419,19.4368,19.3651,19.4494,19.5913,QSO
20.1494,18.8318,18.1477,17.796,17.5306,GALAXY
20.2037,20.2677,19.994,19.9432,19.9477,QSO
22.1876,20.4805,19.155,18.6145,18.1909,GALAXY
24.5155,22.7508,20.7591,18.273,16.8996,STAR_LATE
21.577,19.6928,18.7357,18.221,17.8215,GALAXY
21.8352,20.1564,18.9311,18.4331,18.117,GALAXY
20.5412,20.0196,19.5952,19.2491,19.0482,QSO
21.7766,19.8147,18.6913,18.2112,17.8692,GALAXY
23.116,21.1031,19.7252,19.4611,18.5409,STAR_LATE
19.5207,18.3107,18.4582,18.5822,18.7417,STAR
18.1918,17.2497,16.8962,16.7242,16.6532,STAR
21.0386,19.2188,18.2451,17.8225,17.4631,GALAXY
21.1889,19.0757,18.0852,17.6222,17.3072,GALAXY
21.1809,20.0036,19.9861,20.0089,19.932,STAR
22.1349,20.2693,20.0232,20.0009,19.9696,QSO
16.9224,15.8853,15.7672,15.7757,15.8397,STAR
19.4677,18.4515,18.0954,17.9483,17.9161,STAR
16.7863,15.5587,15.1675,15.073,15.0283,STAR
26.0152,21.5392,20.4651,20.1346,19.8309,STAR
20.8095,19.0044,18.0053,17.5183,17.1782,GALAXY
19.6812,18.5453,18.5142,18.5617,18.6632,STAR
21.4542,20.4735,20.7908,21.0436,21.1379,STAR
18.8223,18.7197,18.8945,19.083,19.2817,STAR
23.3222,21.1306,19.4572,18.8576,18.4004,GALAXY
20.3914,20.0328,20.0477,20.1046,20.1514,STAR
18.7008,16.8519,16.0299,15.608,15.2883,GALAXY
20.9435,19.0164,18.0473,17.6007,17.2007,GALAXY
21.1321,19.8658,19.3199,18.9909,18.7377,GALAXY
21.0997,19.8003,19.1492,18.7696,18.5923,GALAXY
20.7532,19.267,18.4739,18.038,17.6982,GALAXY
21.3097,20.4764,20.4421,20.4961,20.5847,STAR
20.6749,20.4106,20.4515,20.3932,20.027,QSO
18.2444,16.038,15.1562,14.8616,14.6912,STAR
18.6815,18.6663,18.2099,18.1273,18.2347,QSO
20.5253,20.3893,20.3397,20.1429,20.0564,QSO
21.9859,19.7726,18.6256,18.1869,17.8095,GALAXY
22.3502,21.0507,19.3438,18.7473,18.4146,GALAXY
20.8303,20.5353,20.4477,20.3378,20.4132,QSO
16.6302,15.5467,15.4018,15.3699,15.4342,STAR
19.105,17.9426,17.5127,17.3489,17.2951,STAR
21.9801,20.1345,18.835,18.3324,17.9709,GALAXY
21.528,19.4891,18.2756,17.7738,17.402,GALAXY
22.0376,19.7758,18.6644,18.2026,17.8228,GALAXY
19.4347,18.3837,17.9822,17.7662,17.6112,GALAXY
23.0133,20.5723,19.6081,19.0101,18.9454,STAR
21.4788,20.0143,19.2631,18.9191,18.6057,GALAXY
21.6553,19.6338,18.5654,18.1276,17.7518,GALAXY
23.2397,21.0808,19.828,19.411,19.2497,STAR
21.2078,19.5378,18.7784,18.3816,18.1047,GALAXY
19.1254,18.9325,18.5052,18.0512,17.9591,QSO
20.5615,20.6282,21.0061,21.5589,21.3929,STAR
20.3973,18.7783,17.921,17.5391,17.2481,GALAXY
24.4279,21.8197,20.169,19.4695,19.0487,GALAXY
20.9233,19.3234,18.4773,18.1029,17.8651,GALAXY
20.1842,18.4464,17.5673,17.1769,16.9002,GALAXY
21.4492,19.5769,18.474,18.0305,17.7015,GALAXY
21.4017,19.3214,17.9473,16.5889,15.9182,STAR_LATE
20.8349,20.3216,20.2707,20.0201,20.1802,QSO
23.7002,21.702,19.978,19.3375,19.0346,GALAXY
23.2778,21.81,19.9632,19.2789,18.9344,GALAXY
23.4713,21.5259,20.2581,19.4528,19.112,STAR_LATE
23.6157,21.5742,19.8867,19.2559,18.7876,GALAXY
19.7731,19.4919,19.364,19.1755,19.2302,QSO
19.4518,18.6368,18.173,17.8405,17.6345,GALAXY
18.4446,17.5138,17.2539,17.148,17.1352,STAR
19.7009,18.5262,18.0802,17.9322,17.902,STAR
20.5423,20.4866,20.3627,20.3079,20.1802,QSO
19.9752,19.7237,19.1738,18.9429,18.6028,QSO
21.5999,19.0882,17.6612,16.4666,15.8537,STAR_LATE
24.9631,22.2702,20.5016,19.7933,19.2651,GALAXY
20.6465,19.4209,18.888,18.5835,18.4243,GALAXY
20.2417,18.3372,17.4538,17.0563,16.7259,GALAXY
19.4647,17.6135,16.7627,16.3718,16.0461,GALAXY
23.9857,24.1503,22.1642,20.5738,19.9319,STAR_LATE
19.6647,19.4345,19.1907,19.2477,19.079,QSO
21.0312,20.4303,20.3304,20.1793,19.9041,QSO
20.7599,19.7755,19.2097,18.8738,18.7256,GALAXY
20.9224,19.3024,18.4736,18.0988,17.759,GALAXY
19.8145,18.122,17.2837,16.8873,16.5938,GALAXY
20.4863,19.2425,18.6467,18.2978,18.076,GALAXY
24.5059,21.5397,20.6743,20.5364,20.4395,GALAXY
20.6933,18.6832,17.6328,17.2313,16.9179,GALAXY
20.0744,19.9579,19.7606,19.862,19.9771,QSO
20.3102,20.3413,20.6829,20.9977,21.5401,STAR
19.9425,19.835,19.7237,19.5651,19.3391,QSO
20.9144,20.6632,20.3504,20.1863,20.3056,QSO
21.5351,20.3049,19.7127,19.3922,19.1676,GALAXY
18.4473,16.3782,15.445,15.014,14.6451,GALAXY
21.5992,20.2108,19.5916,19.3041,19.1915,GALAXY
21.6759,19.8747,18.927,18.482,18.1458,GALAXY
24.0378,20.546,19.6532,19.3438,19.2028,STAR
21.0267,20.63,20.299,20.4061,20.7224,QSO
24.6185,21.7451,20.8935,20.5978,20.4075,STAR
20.6098,20.3762,20.1022,20.2184,20.5293,GALAXY
20.6875,19.3833,18.7173,18.3379,18.102,GALAXY
21.0585,18.7108,17.2641,16.1941,15.637,STAR_LATE
24.5583,21.9803,20.1898,19.4309,19.0539,GALAXY
21.1605,19.1073,18.0643,17.5759,17.2571,GALAXY
21.2485,20.02,20.012,20.1423,20.2771,STAR
21.8741,20.6645,20.1568,19.8752,20.2196,STAR
20.882,18.9965,17.9419,17.4414,17.0904,GALAXY
23.6921,23.2961,21.7511,20.4303,19.055,STAR_LATE
25.6622,21.9495,20.7623,20.3588,20.4069,STAR
24.0221,21.5886,20.1791,20.1824,20.3899,QSO
25.2556,21.4893,20.4416,20.098,20.0757,STAR
21.233,20.0541,19.4802,19.1658,18.8824,GALAXY
21.1778,20.1313,19.7147,19.5112,19.3895,GALAXY
19.7246,17.9534,16.9378,16.4234,16.0274,GALAXY
21.9095,19.9423,18.7588,18.1654,17.8053,GALAXY
21.0925,19.4695,18.4938,18.0304,17.7524,GALAXY
19.6353,19.2444,18.9256,18.7837,18.7005,QSO
20.4946,20.1112,19.7515,19.4246,18.9722,QSO
17.5577,16.4254,16.3548,16.4164,16.5534,STAR
22.3045,20.4012,19.1216,18.6037,18.2149,GALAXY
25.087,21.8568,20.9368,20.6177,20.6165,STAR
21.6949,19.6554,18.5298,18.0864,17.7643,GALAXY
20.5066,18.5733,17.6906,17.2587,16.889,GALAXY
19.8601,19.6178,19.3626,19.2541,18.8291,QSO
20.1154,19.9773,19.5547,19.3673,18.8976,QSO
21.3701,20.6601,20.6293,20.4456,20.1575,QSO
20.4238,18.6169,17.6727,17.1712,16.7608,GALAXY
21.3856,19.3949,18.2487,17.7722,17.4277,GALAXY
21.0169,20.7895,20.6492,20.6002,20.3553,QSO
20.7503,19.5603,18.9066,18.4887,18.2158,GALAXY
20.7585,19.4344,18.6996,18.2948,17.9819,GALAXY
21.1479,19.462,18.5117,18.0573,17.7187,GALAXY
22.8954,20.1423,18.9526,18.5147,18.1289,STAR
