u,g,r,i,z,CLASS
20.2215,19.1611,18.7949,18.4968,18.4083,GALAXY
20.5692,18.8901,18.0119,17.5648,17.2256,GALAXY
21.0345,19.229,18.3327,17.9327,17.6187,GALAXY
21.56,20.012,19.2759,18.9128,18.6471,GALAXY
22.0226,20.3585,20.1318,20.2461,20.2332,HIZ_QSO
20.8794,19.7636,19.216,18.8606,18.6569,GALAXY
19.8007,19.2781,19.0349,18.9258,18.9338,GALAXY
20.816,19.549,19.0027,18.6976,18.4284,GALAXY
23.1826,21.2452,19.5337,18.9346,18.5533,GALAXY
21.1515,19.4111,18.4691,18.0589,17.7413,GALAXY
21.7761,20.3369,19.8438,19.5497,19.3269,GALAXY
20.7911,19.4,18.6568,18.1957,17.9296,GALAXY
20.93,19.3661,18.5361,18.0719,17.7102,GALAXY
20.8227,19.598,19.0499,18.6958,18.5022,GALAXY
20.2933,18.969,18.3989,18.0648,17.8225,GALAXY
20.2966,18.536,17.6928,17.2427,16.9357,GALAXY
21.9801,20.12,19.1471,18.7349,18.3601,GALAXY
20.8803,19.2236,18.455,18.0497,17.7733,GALAXY
21.0908,19.2276,18.373,17.9627,17.6283,GALAXY
23.2561,22.259,20.9221,19.5905,18.3771,STAR_LATE
20.959,19.1686,18.37,17.9806,17.6643,GALAXY
20.8692,19.0816,18.237,17.8086,17.4873,GALAXY
23.4324,21.8842,19.9938,19.1957,18.8159,GALAXY
20.4173,18.514,17.6589,17.2378,16.9366,GALAXY
22.1533,20.1249,18.8709,18.3778,18.0204,GALAXY
21.4035,19.5746,18.734,18.3596,18.0492,GALAXY
21.3761,19.7749,18.9737,18.5046,18.1625,GALAXY
20.5904,19.517,18.902,18.5068,18.3151,GALAXY
20.3665,19.9689,19.7067,19.4076,19.2961,QSO
20.4196,19.226,18.676,18.3039,18.0772,GALAXY
19.8188,18.592,17.9427,17.5327,17.2877,GALAXY
21.0953,19.412,18.5137,18.0337,17.6497,GALAXY
21.0093,19.607,18.8489,18.4018,18.0894,GALAXY
20.8857,19.6059,19.0817,18.8236,18.6442,GALAXY
21.0284,18.959,17.8787,17.5287,17.1797,GALAXY
20.7353,19.0561,18.116,17.6559,17.3093,GALAXY
20.2312,19.2631,18.8363,18.5362,18.4005,GALAXY
20.8455,20.2869,19.7403,19.2952,19.1529,QSO
24.4309,21.7836,20.023,19.2808,18.8538,GALAXY
20.6508,19.0361,18.2064,17.7653,17.4531,GALAXY
21.3839,19.8361,19.0124,18.6013,18.3009,GALAXY
21.1186,19.1399,18.102,17.6771,17.3153,GALAXY
21.6668,19.5566,18.527,18.0717,17.7103,GALAXY
19.2952,19.2379,19.041,19.0071,19.1621,QSO
21.6842,19.8289,18.7132,18.2189,17.8474,GALAXY
19.4163,19.2639,19.262,19.0301,19.0064,QSO
21.311,19.7806,18.857,18.3766,18.0412,GALAXY
17.7055,17.9011,18.3514,18.6722,18.8933,STAR
20.253,19.0029,18.398,18.0381,17.8372,GALAXY
20.1921,18.2427,17.363,16.9307,16.6014,GALAXY
21.089,19.1721,18.1114,17.6663,17.3031,GALAXY
21.0681,19.3341,18.5464,18.1663,17.894,GALAXY
23.9361,21.127,19.4529,18.8566,18.4481,GALAXY
20.9152,19.3046,18.496,18.0816,17.7353,GALAXY
19.1503,17.1587,16.253,15.8127,15.4754,GALAXY
19.4543,18.6659,18.4898,18.2208,18.1604,GALAXY
20.9552,19.3099,18.4749,18.0388,17.7525,GALAXY
22.8136,22.4367,21.1207,20.0093,19.7764,STAR_LATE
20.8166,19.322,18.3079,17.7568,17.4615,GALAXY
20.4057,18.6156,17.6549,17.1206,16.7104,GALAXY
23.4891,21.6009,19.9078,19.2066,18.7138,GALAXY
18.9791,18.8256,18.6059,18.6126,18.6908,QSO
21.7166,20.4887,20.0665,19.8724,19.7162,GALAXY
20.3281,19.128,18.5869,18.2738,18.0974,GALAXY
20.9415,19.8399,19.1097,18.6836,18.4154,GALAXY
20.1003,18.2519,17.4237,17.0226,16.7167,GALAXY
19.3546,19.2729,19.1057,19.1176,19.1345,QSO
20.2823,18.4639,17.6667,17.2856,17.0057,GALAXY
20.3722,18.4909,17.6477,17.2536,16.9377,GALAXY
19.7115,18.4039,17.6977,17.2786,16.9497,GALAXY
20.5604,19.482,19.129,18.8538,18.7737,GALAXY
19.7691,18.7536,18.205,17.8216,17.5773,GALAXY
20.2132,19.009,18.5039,18.1398,17.9604,GALAXY
20.3555,19.109,18.495,18.1048,17.8852,GALAXY
22.9628,19.1599,18.3121,17.9989,17.8184,STAR
18.0262,16.7799,16.706,16.6961,16.7083,STAR
21.325,19.6531,18.6533,18.2232,17.8637,GALAXY
23.4014,21.2812,20.296,19.9449,19.9157,STAR
20.4334,18.5129,17.5732,17.1499,16.8055,GALAXY
18.3058,17.7189,17.5441,17.4439,17.3085,GALAXY
18.9949,18.4989,18.3882,18.3179,18.0783,QSO
20.5218,19.334,18.7243,18.3652,18.1236,GALAXY
21.008,18.9731,17.9733,17.4922,17.1028,GALAXY
19.59,18.7309,18.4319,18.2281,18.1341,GALAXY
21.4084,19.4179,18.5,18.1041,17.7852,GALAXY
21.5196,19.5518,18.4649,18.0201,17.7092,GALAXY
21.6358,20.0978,19.2289,18.7701,18.443,GALAXY
20.9191,19.0449,18.021,17.5961,17.2163,GALAXY
21.0626,20.1018,19.9348,19.6529,19.4282,GALAXY
21.5334,20.1324,18.9819,18.4656,18.1042,GALAXY
20.5079,19.355,18.8074,18.4612,18.2389,GALAXY
19.8622,18.0781,17.2974,16.9353,16.6581,GALAXY
21.4095,19.463,18.4484,18.0072,17.68,GALAXY
21.1681,19.9484,19.4279,19.1336,18.8986,GALAXY
20.9438,19.1585,18.0059,17.2956,16.7553,GALAXY
19.5141,18.3858,17.8308,17.4617,17.2335,GALAXY
21.0786,19.7378,19.0768,18.7327,18.4982,GALAXY
21.1493,19.6095,18.6749,18.2146,17.8762,GALAXY
20.8313,20.2507,19.3838,18.9347,18.6121,GALAXY
21.5554,19.7098,18.9868,18.6047,18.3273,GALAXY
19.9551,18.1569,17.3118,16.9318,16.6285,GALAXY
19.9307,19.8824,19.5458,19.4535,19.4063,QSO
20.8834,19.2028,18.4547,18.1106,17.8426,GALAXY
21.4514,20.0268,19.4206,19.0956,18.8859,GALAXY
18.8735,17.0499,16.2327,15.8416,15.5257,GALAXY
18.969,18.5295,18.6289,18.5126,18.5889,QSO
18.7036,17.5859,17.2227,17.0866,17.0537,STAR
25.1482,21.254,19.6338,18.9907,18.4982,GALAXY
19.4182,17.4269,16.4828,16.0408,15.6875,GALAXY
20.399,19.3638,18.8506,18.5046,18.2784,GALAXY
20.8406,18.8959,18.0457,17.6496,17.3296,GALAXY
20.6662,19.1649,18.5023,18.1462,17.853,GALAXY
20.824,19.7668,19.2909,18.9871,18.8216,GALAXY
23.5898,21.7632,20.5195,19.8414,19.6005,GALAXY
21.802,19.5908,18.4909,18.0171,17.6112,GALAXY
23.0362,21.0552,19.4212,18.7812,18.3658,GALAXY
20.5692,19.1338,18.4893,18.1552,17.856,GALAXY
19.75,18.7909,18.4443,18.3072,18.2589,STAR
19.2679,17.2888,16.3979,15.9661,15.6183,GALAXY
20.8632,19.5859,19.1703,18.9012,18.7325,GALAXY
21.472,19.9639,19.1203,18.6452,18.3528,GALAXY
21.5293,19.7357,18.7109,18.1491,17.7362,GALAXY
21.7785,19.6119,18.5533,18.1042,17.742,GALAXY
19.8209,18.6558,18.2489,17.9341,17.8292,GALAXY
20.1397,19.1159,18.7943,18.5372,18.3428,GALAXY
19.7419,18.2239,17.6833,18.9672,17.387,STAR
20.708,19.0948,18.3413,17.9262,17.624,GALAXY
20.9744,19.6398,18.8431,18.3928,18.1023,GALAXY
21.5124,19.8067,18.6149,18.1071,17.7622,GALAXY
19.7737,18.9708,18.8289,18.5481,18.5888,GALAXY
19.2561,17.2907,16.4046,15.9896,15.6656,GALAXY
20.4832,19.0208,18.2783,17.8272,17.508,GALAXY
23.7725,20.8923,19.2545,18.6676,18.3234,GALAXY
21.099,19.7943,19.2218,18.8645,18.6998,GALAXY
23.3837,20.7751,19.3058,18.7076,18.338,GALAXY
18.1994,17.2818,16.9796,16.8706,16.8447,STAR
21.9776,19.7804,18.4229,17.8916,17.5223,GALAXY
23.4012,20.8503,19.2755,18.7266,18.3683,GALAXY
20.8578,19.1427,18.2298,17.7907,17.4735,GALAXY
19.2571,19.1127,18.9476,18.9485,18.8629,QSO
20.022,19.0218,18.6416,18.3986,18.1824,GALAXY
20.058,18.1578,17.2976,16.8856,16.5916,GALAXY
20.0195,18.0967,17.2447,16.8277,16.5265,GALAXY
18.8798,18.5607,17.7708,17.6627,17.6354,STAR
20.9061,19.7037,19.1296,18.7476,18.5552,GALAXY
22.2892,20.6721,19.6428,19.1185,18.7977,GALAXY
21.1853,19.5867,18.7546,18.2626,17.8265,GALAXY
18.5239,17.6358,17.3818,17.3097,17.3105,STAR
20.95,19.432,18.729,18.476,18.303,STAR
21.658,20.214,19.676,19.496,19.512,STAR
20.715,20.297,19.81,19.564,19.143,QSO
22.472,20.11,18.876,18.418,18.172,STAR
23.494,20.717,19.656,19.286,19,STAR
20.658,19.224,18.644,18.402,18.276,STAR
22.851,19.988,18.657,17.662,17.112,STAR_LATE
21.472,20.477,20.021,19.787,19.769,STAR
24.282,20.145,18.801,17.97,17.5,STAR_LATE
20.834,19.908,19.701,19.599,19.728,STAR
19.942,19.028,18.61,18.45,18.372,STAR
22.585,21.193,20.41,20.224,19.903,STAR
21.145,20.433,20.179,20.103,20.216,STAR
22.394,20.645,19.529,19.072,18.89,STAR
20.645,19.999,19.849,19.715,19.561,QSO
20.332,19.378,19.073,18.974,18.916,STAR
21.945,20.753,20.148,19.915,19.907,STAR
21.268,20.304,19.98,19.818,19.682,STAR
19.587,18.673,18.46,18.378,18.334,STAR
22.241,20.382,19.56,19.268,19.134,STAR
20.994,19.966,19.499,19.269,19.126,STAR
20.998,19.894,19.408,19.217,19.063,STAR
22.124,20.892,20.347,20.196,20.219,STAR
20.438,18.97,18.391,18.189,18.074,STAR
22.459,20.525,19.599,19.316,19.121,STAR
21.802,20.321,19.768,19.583,19.457,STAR
20.411,19.341,18.914,18.788,18.709,STAR
21.232,20.371,19.938,19.626,19.319,QSO
18.723,18.488,18.784,19.078,19.405,STAR
21.323,19.723,19.165,18.971,18.912,STAR
21.972,20.691,20.194,20.014,19.941,STAR
20.912,19.761,19.26,19.036,18.912,STAR
21.949,20.75,20.191,19.969,19.853,STAR
20.413,19.512,19.14,19.03,19.074,STAR
20.8,19.935,19.679,19.612,19.568,STAR
20.075,19.169,18.855,18.759,18.767,STAR
20.759,19.787,19.526,19.434,19.462,STAR
21.555,20.069,19.527,19.308,19.226,STAR
22.562,20.546,19.07,18.364,17.955,STAR_LATE
20.232,18.783,18.119,17.836,17.703,STAR
22.075,20.654,20.111,19.947,19.856,STAR
21.345,20.663,20.541,20.589,20.661,STAR
22.769,20.178,18.792,17.547,16.894,STAR_LATE
20.421,18.93,18.362,18.169,18.104,STAR
23.948,21.528,20.47,20.153,19.912,STAR
21.264,20.401,20.232,20.211,20.171,STAR
21.91,20.449,19.903,19.667,19.62,STAR
21.264,20.288,20.165,20.188,20.334,STAR
20.262,19.317,19.033,18.918,18.901,STAR
19.629,18.705,18.414,18.317,18.274,STAR
20.485,19.736,19.374,19.276,19.279,STAR
21.302,20.506,20.345,20.245,20.225,STAR
21.78,20.12,19.37,19.092,18.852,STAR
20.16,18.722,18.195,18.043,17.957,STAR
20.244,19.061,18.534,18.325,18.23,STAR
21.09,19.838,19.281,19.059,18.904,STAR
21.244,20.364,20.024,19.851,19.783,STAR
22.837,20.602,19.365,18.861,18.522,STAR_LATE
20.193,18.848,18.339,18.156,18.123,STAR
22.03,20.912,20.279,20.082,19.865,STAR
21.649,20.198,19.626,19.423,19.32,STAR
21.725,19.736,18.802,18.406,18.172,STAR
22.28,20.811,20.17,19.892,19.672,STAR
21.077,20.219,19.761,19.601,19.58,STAR
19.598,18.713,18.412,18.301,18.314,STAR
20.455,20.085,20.333,20.545,20.747,STAR
21.345,20.499,20.048,19.878,19.685,STAR
20.752,19.893,19.475,19.347,19.17,STAR
20.236,19.456,19.04,18.969,18.907,STAR
21.313,20.143,19.625,19.424,19.361,STAR
19.598,18.654,18.311,18.176,18.141,STAR
19.453,18.517,18.222,18.101,18.097,STAR
19.632,18.662,18.402,18.324,18.307,STAR
21.598,20.649,20.407,20.298,20.508,STAR
21.619,20.169,19.6,19.358,19.178,STAR
20.347,19.419,19.176,19.068,19.069,STAR
21.057,19.772,19.253,19.046,18.887,STAR
20.463,19.005,18.412,18.14,18.039,STAR
20.391,19.593,19.32,19.169,19.14,STAR
22.963,19.479,18.357,17.931,17.687,STAR
21.234,20.034,19.455,19.255,19.087,STAR
20.808,20.358,19.839,19.585,19.581,QSO
20.815,19.939,19.615,19.439,19.382,STAR
20.74,19.694,19.368,19.183,19.162,STAR
20.966,19.992,19.596,19.403,19.391,STAR
21.741,20.376,20.439,20.599,20.591,STAR
19.964,19.027,18.776,18.69,18.682,STAR
21.591,20.096,19.623,19.423,19.393,STAR
21.468,20.434,20.329,20.334,20.415,STAR
21.32,19.547,18.776,18.466,18.295,STAR
20.511,19.464,19.053,18.873,18.838,STAR
21.329,19.281,18.334,17.978,17.768,STAR
20.755,19.608,19.055,18.831,18.746,STAR
22.261,20.999,20.463,20.287,20.162,STAR
21.29,20.228,19.734,19.528,19.395,STAR
22.03,20.868,20.291,20.089,19.888,STAR
21.024,20.107,19.829,19.709,19.716,STAR
21.279,19.645,18.935,18.697,18.56,STAR
21.453,19.522,18.646,18.25,18.085,STAR
21.407,19.834,19.099,18.806,18.682,STAR
21.238,19.76,19.234,19.008,18.928,STAR
20.508,19.546,19.218,19.125,19.021,STAR
21.582,20.027,19.288,18.988,18.845,STAR
22.113,19.827,18.378,17.631,17.221,STAR_LATE
21.483,20.652,20.499,20.371,20.075,HIZ_QSO
20.516,19.746,19.493,19.395,19.408,STAR
21.404,20.471,19.946,19.76,19.717,STAR
21.203,19.863,19.292,19.023,18.96,STAR
21.281,19.725,18.996,18.697,18.506,STAR
19.944,19.074,18.757,18.628,18.549,STAR
23.5,20.625,19.241,18.481,18.029,STAR_LATE
20.92,20.155,19.838,19.713,19.743,STAR
20.32,19.2,19.245,19.356,19.335,STAR
21.824,20.669,20.248,20.012,20.012,STAR
22.448,20.881,20.326,20.069,20.085,STAR
20.915,20.148,19.909,19.857,19.937,STAR
20.863,19.435,18.892,18.689,18.484,STAR
21.374,20.62,20.475,20.298,20.3,STAR
22.237,20.444,19.33,18.894,18.602,STAR
20.511,20.401,20.135,20.193,20.167,QSO
21.885,20.661,20.159,19.969,20.067,STAR
19.494,18.594,18.35,18.268,18.248,STAR
20.503,19.253,18.718,18.513,18.384,STAR
21.693,19.478,18.326,17.884,17.631,STAR
22.308,20.563,19.744,19.406,19.193,STAR
23.183,21.18,19.841,19.149,18.817,STAR_LATE
21.481,20.643,20.295,20.164,19.998,STAR
20.925,19.825,19.335,19.173,19.067,STAR
22.123,20.756,20.259,20.072,20.035,STAR
20.058,19.614,19.975,20.204,20.361,STAR
19.919,19.016,18.73,18.617,18.619,STAR
22.08,19.987,19.073,18.712,18.461,STAR
23.903,20.765,19.361,18.613,18.166,STAR_LATE
20.546,19.66,19.373,19.271,19.316,STAR
19.775,18.785,18.504,18.4,18.328,STAR
20.663,19.922,19.652,19.594,19.513,STAR
18.649,17.498,17.104,16.961,16.918,STAR
24.938,21.078,19.656,18.895,18.398,STAR_LATE
20.906,19.642,19.154,18.997,18.874,STAR
21.515,20.134,19.469,19.233,19.087,STAR
20.32,19.398,19.117,19.022,18.976,STAR
20.033,19.06,18.757,18.614,18.56,STAR
21.336,20.281,19.836,19.689,19.687,STAR
21.375,20.262,19.802,19.598,19.54,STAR
20.99,19.762,19.239,19.037,18.928,STAR
22.178,19.892,18.491,17.726,17.296,STAR_LATE
21.068,19.935,19.382,19.159,19.012,STAR
17.626,16.395,15.979,15.835,15.754,STAR
20.345,19.267,18.762,18.524,18.379,STAR
22.251,20.191,19.27,18.916,18.728,STAR
20.358,18.741,18.166,17.942,17.844,STAR
19.646,18.741,18.444,18.346,18.335,STAR
21.756,20.787,20.048,19.744,19.288,QSO
21.847,19.968,19.108,18.802,18.615,STAR
21.428,20.507,20.224,20.144,20.118,STAR
22.655,19.982,18.809,18.367,18.069,STAR
19.902,19.044,18.828,18.755,18.769,STAR
21.29,20.268,19.866,19.716,19.848,STAR
21.262,20.322,20.144,20.109,20.263,STAR
22.15,20.384,19.526,19.177,18.964,STAR
21.824,19.831,19.004,18.641,18.411,STAR
20.175,19.198,18.882,18.775,18.811,STAR
23.44,20.976,19.546,18.669,18.188,STAR_LATE
20.47,19.557,19.383,19.305,19.369,STAR
21.399,20.307,20.305,20.397,20.25,HIZ_QSO
20.744,19.688,19.502,19.335,19.165,HIZ_QSO
22.914,20.372,19.159,18.693,18.433,STAR
20.028,19.115,18.832,18.743,18.659,STAR
22.589,20.597,19.264,18.518,18.103,STAR_LATE
20.456,19.008,18.482,18.277,18.196,STAR
20.858,19.488,18.9,18.569,18.599,STAR
20.618,20.049,20.053,20.082,19.853,HIZ_QSO
20.031,18.691,18.151,17.927,17.817,STAR
22.466,20.934,20.392,20.234,20.198,STAR
20.06,19.011,19.183,19.343,19.389,STAR
22.465,19.999,18.668,17.836,17.38,STAR_LATE
23.051,21.176,19.855,19.195,18.823,STAR
22.814,20.445,19.388,18.984,18.782,STAR
21.149,20.266,19.988,19.924,19.74,STAR
21.8,19.413,18.324,17.935,17.699,STAR
22.364,20.253,19.348,19.009,18.922,STAR
23.117,20.414,19.034,18.406,18.007,STAR_LATE
22.483,20.481,19.174,18.635,18.275,STAR_LATE
22.155,19.546,18.408,18.012,17.77,STAR
21.481,20.565,20.077,19.894,19.838,STAR
21.097,20.196,19.915,19.755,19.658,STAR
21.004,19.55,18.759,18.463,18.252,STAR
20.255,19.329,19.143,19.089,19.071,STAR
19.695,18.417,18.646,18.799,18.881,STAR
22.117,21.113,20.601,20.369,20.161,STAR
21.897,20.742,20.275,20.045,19.948,STAR
20.713,19.063,18.519,18.283,18.191,STAR
21.996,19.607,18.47,18.064,17.837,STAR
21.356,20.216,19.637,19.504,19.478,STAR
20.628,19.411,18.87,18.659,18.534,STAR
21.552,19.289,18.332,17.927,17.679,STAR
21.286,20.407,20.192,20.08,20.164,STAR
20.374,18.986,18.46,18.298,18.233,STAR
20.944,20.058,19.723,19.629,19.714,STAR
20.851,19.463,18.89,18.661,18.541,STAR
22.005,20.799,20.284,20.064,19.941,STAR
21.064,20.05,19.943,19.949,19.998,STAR
23.043,20.074,18.969,18.558,18.327,STAR
18.205,17.367,17.094,16.979,16.925,STAR
19.536,18.548,18.218,18.122,18.083,STAR
20.877,19.946,19.64,19.537,19.493,STAR
21.2,20.489,20.187,20.137,20.166,STAR
21.37,19.958,19.222,18.929,18.836,STAR
21.108,20.276,19.991,19.922,20.146,STAR
19.823,18.965,18.826,18.751,18.467,HIZ_QSO
20.634,19.834,19.663,19.634,19.593,STAR
19.977,19.13,18.858,18.762,18.742,STAR
18.209,17.005,16.59,16.454,16.388,STAR
20.743,19.939,19.682,19.62,19.57,STAR
20.031,19.005,18.545,18.364,18.312,STAR
21.478,20.158,19.592,19.379,19.258,STAR
22.039,20.908,20.414,20.245,20.246,STAR
20.885,19.497,18.964,18.738,18.619,STAR
19.896,19.858,20.25,20.528,20.728,STAR
21.672,20.265,19.751,19.544,19.424,STAR
22.084,19.673,18.491,17.958,17.689,STAR_LATE
18.797,18.793,19.144,19.424,19.696,STAR
17.919,16.648,16.223,16.092,16.027,STAR
21.076,19.788,19.218,18.988,18.869,STAR
21.832,20.351,19.809,19.576,19.564,STAR
22.988,20.331,18.953,18.284,17.913,STAR_LATE
21.55,20.026,19.5,19.318,19.08,STAR
15.979,14.889,14.541,14.451,14.423,STAR
21.777,20.987,20.467,20.158,19.754,QSO
20.46,19.571,19.297,19.16,19.105,STAR
19.438,17.947,17.237,16.939,16.893,STAR
20.826,19.973,19.717,19.63,19.476,STAR
20.956,20.001,19.808,19.851,19.904,STAR
21.379,20.686,20.479,20.459,20.372,STAR
21.586,20.462,19.947,19.742,19.52,STAR
21.702,20.744,20.273,20.112,20.066,STAR
23.013,20.646,19.159,18.017,17.365,STAR_LATE
20.478,19.165,19.315,19.358,19.449,STAR
22.355,19.72,18.528,18.069,17.792,STAR
20.674,19.937,19.691,19.602,19.605,STAR
18.384,17.378,17,16.839,16.804,STAR
23.521,20.648,19.754,19.431,19.17,STAR
20.748,19.368,18.828,18.644,18.518,STAR
23.063,21.021,20.084,19.748,19.644,STAR
21.298,20.408,20.393,20.395,20.053,QSO
20.155,18.975,18.479,18.273,18.136,STAR
20.006,18.886,18.466,18.325,18.248,STAR
21.428,20.116,20.056,20,20.086,STAR
22.587,20.674,19.368,18.788,18.447,STAR_LATE
19.171,19.218,19.512,19.808,19.99,STAR
23.238,20.892,19.597,19.051,18.764,STAR
22.49,20.597,19.766,19.485,19.331,STAR
22.875,19.957,18.629,17.877,17.449,STAR_LATE
20.604,19.177,18.61,18.435,18.321,STAR
23.584,20.985,19.894,19.479,19.156,STAR
20.588,19.202,18.651,18.401,18.299,STAR
21.26,20.415,20.17,20.067,20.019,STAR
25.477,21.382,19.872,19.123,18.695,STAR_LATE
21.352,19.294,18.438,18.058,17.829,STAR
22.093,21.111,20.578,20.463,20.798,STAR
21.143,19.962,19.447,19.234,19.22,STAR
21.799,20.897,20.531,20.398,20.361,STAR
22.515,20.786,20.24,20.134,19.81,STAR
18.494,17.455,17.126,17.012,16.996,STAR
21.341,20.325,19.842,19.668,19.588,STAR
23.014,21.306,20.53,20.207,20.051,STAR
23.11,20.222,18.813,17.537,16.86,STAR_LATE
21.937,20.692,20.847,20.981,21.124,STAR
21.13,20.199,19.877,19.691,19.603,STAR
21.235,20.26,19.791,19.646,19.478,STAR
20.945,19.259,18.477,18.169,17.988,STAR
21.1,19.805,19.839,19.998,19.89,STAR
22.078,20.806,20.32,20.098,19.895,STAR
21.476,20.549,20.351,20.398,20.199,STAR
22.557,20.23,19.109,18.657,18.359,STAR
22.42,20.595,19.409,18.893,18.59,STAR_LATE
21.977,20.699,20.8,20.91,21.383,STAR
21.439,20.493,20.357,20.36,20.275,STAR
21.405,20.252,19.755,19.536,19.398,STAR
21.06,20.208,19.913,19.78,19.742,STAR
22.85,20.089,18.783,18.202,17.829,STAR_LATE
22.469,19.798,18.638,18.135,17.853,STAR_LATE
17.787,16.892,16.62,16.532,16.473,STAR
23.048,20.893,20.056,19.824,19.578,STAR
21.545,20.37,19.643,19.328,19.087,STAR
20.64,19.042,18.461,18.255,18.154,STAR
19.826,18.825,18.479,18.332,18.207,STAR
20.577,20.44,19.994,20.21,20,QSO
20.861,20.04,19.769,19.652,19.587,STAR
21.48,20.212,19.67,19.458,19.355,STAR
22.963,20.178,19.196,18.81,18.516,STAR
22.012,19.727,18.669,18.252,18.003,STAR
19.962,18.982,18.664,18.545,18.508,STAR
20.726,19.215,18.625,18.362,18.246,STAR
22.497,20.223,18.804,18,17.55,STAR_LATE
20.52,19.541,19.183,19.061,18.964,STAR
21.949,19.727,18.734,18.388,18.166,STAR
21.062,19.072,18.301,17.992,17.831,STAR
20.402,19.254,18.773,18.573,18.543,STAR
22.136,20.874,20.374,20.159,19.826,STAR
21.177,20.185,19.746,19.579,19.358,STAR
22.596,19.945,18.582,18.006,17.659,STAR_LATE
22.817,20.665,19.691,19.284,18.986,STAR
20.79,19.495,18.965,18.719,18.655,STAR
21.196,20.497,19.845,19.742,19.47,QSO
21.269,20.51,20.315,20.233,20.097,STAR
21.484,20.743,20.445,20.357,20.265,STAR
19.8,18.852,18.512,18.349,18.294,STAR
21.831,20.015,19.185,18.825,18.646,STAR
20.856,19.934,19.647,19.475,19.537,STAR
21.544,20.722,20.358,20.233,20.084,STAR
21.337,20.218,19.704,19.449,19.202,STAR
21.825,20.75,20.56,20.499,20.401,STAR
22.281,19.742,18.454,17.924,17.637,STAR_LATE
22.19,19.935,18.758,18.314,18.046,STAR
20.014,20,19.784,19.94,19.837,QSO
20.335,19.32,19.047,18.919,18.952,STAR
20.317,19.814,20.041,20.274,20.308,STAR
19.825,18.946,18.54,18.403,18.352,STAR
20.698,19.602,19.113,18.904,18.83,STAR
20.19,19.325,18.963,18.843,18.775,STAR
20.177,18.861,18.276,18.058,17.946,STAR
20.796,19.745,19.811,19.858,19.914,STAR
19.642,18.685,18.382,18.279,18.278,STAR
21.319,19.949,19.266,19.005,18.87,STAR
23.828,21.042,19.773,19.111,18.802,STAR_LATE
22.595,20.266,18.873,17.678,17.05,STAR_LATE
21.171,19.101,18.1,17.71,17.467,STAR
22.091,19.938,18.72,18.187,17.899,STAR_LATE
20.403,18.9,18.367,18.15,18.042,STAR
17.434,16.521,16.267,16.153,16.114,STAR
22.062,19.693,18.261,17.148,16.553,STAR_LATE
21.726,19.361,18.376,18.009,17.818,STAR
21.173,19.572,18.778,18.495,18.323,STAR
21.416,20.011,19.241,18.891,18.68,STAR
21.234,20.408,20.096,20.04,19.898,STAR
19.653,18.613,18.546,18.545,18.602,STAR
20.925,19.644,19.055,18.815,18.663,STAR
21.412,19.874,19.38,19.178,19.031,STAR
20.818,20.289,20.015,19.935,19.766,QSO
21.79,20.613,20.42,20.332,20.494,STAR
22.274,20.972,19.688,18.723,18.192,STAR_LATE
22.214,19.735,18.773,18.382,18.164,STAR
18.497,17.279,16.869,16.723,16.646,STAR
20.357,18.882,18.351,18.16,18.096,STAR
20.4,19.401,18.966,18.819,18.702,STAR
21.009,19.654,19.138,18.92,18.766,STAR
17.954,16.757,16.366,16.219,16.156,STAR
20.71,19.897,19.478,19.284,19.129,STAR
21.48,20.553,20.366,20.339,20.247,STAR
21.36,19.74,19.088,18.82,18.671,STAR
20.881,18.997,18.115,17.742,17.526,STAR
21.561,20.63,20.35,20.324,20.065,STAR
20.687,19.693,19.529,19.582,19.741,STAR
21.841,19.533,18.59,18.224,18.003,STAR
22.337,20.861,19.876,19.516,19.391,STAR
19.909,18.767,18.308,18.104,18.017,STAR
21.565,20.45,19.912,19.702,19.599,STAR
21.231,19.919,19.308,19.101,19.006,STAR
20.805,19.591,19.049,18.817,18.748,STAR
21.772,20.26,19.703,19.479,19.362,STAR
22.56,20.753,19.686,19.208,18.872,STAR
22.044,21.041,20.494,20.281,20.151,STAR
22.018,20.67,20.102,19.904,19.66,STAR
20.345,19.994,20.324,20.566,21.002,STAR
22.902,20.354,18.956,18.286,17.922,STAR_LATE
21.077,20.168,20.182,20.176,20.352,STAR
23.098,21.076,19.928,19.377,19.162,STAR
19.951,19.425,19.436,19.356,19.417,QSO
21.718,19.936,19.395,19.187,19.08,STAR
20.901,19.62,19.06,18.805,18.668,STAR
23.285,20.416,19.393,18.917,18.688,STAR
19.763,18.673,18.91,19.106,19.168,STAR
20.882,20.262,20.508,20.714,20.689,STAR
22.508,20.953,20.466,20.258,20.003,STAR
21.255,20.449,20.137,20.065,19.927,STAR
20.123,19.473,19.251,19.169,19.063,STAR
24.912,21.292,19.879,19.044,18.607,STAR_LATE
21.095,20.049,19.812,19.729,19.599,STAR
21.687,20.192,19.653,19.39,19.204,STAR
22.276,21.053,20.507,20.312,20.063,STAR
21.14,20.241,19.797,19.653,19.433,STAR
20.234,19.407,19.203,19.079,19.084,STAR
22.959,20.577,19.516,19.106,18.88,STAR
23.289,20.217,18.7,18.082,17.684,STAR
17.149,15.947,15.561,15.399,15.364,STAR
21.857,20.441,19.953,19.759,19.574,STAR
20.371,19.49,19.199,19.115,19.05,STAR
23.245,20.678,19.344,18.656,18.31,STAR_LATE
