u,g,r,i,z,CLASS
20.5752,18.585,17.642,17.2198,16.9043,GALAXY
22.0977,20.0751,18.7091,18.1906,17.8394,GALAXY
21.1799,19.8961,19.2131,18.8105,18.577,GALAXY
17.3677,17.3031,17.1301,17.0366,17.0924,QSO
20.7699,19.6699,19.117,18.7908,18.6208,GALAXY
18.7389,18.437,18.184,18.2068,18.2031,QSO
20.5413,19.079,18.35,17.9578,17.7392,GALAXY
20.7161,19.231,19.221,19.1388,18.9205,HIZ_QSO
20.5122,19.4017,18.7232,18.3448,18.1416,GALAXY
22.9954,21.0691,19.4651,18.9067,18.5634,GALAXY
22.4018,20.6614,19.7181,19.2147,18.924,GALAXY
21.4169,19.8657,18.9242,18.4838,18.2046,GALAXY
17.9527,16.8187,16.4082,16.2558,16.2338,STAR
18.8566,16.9144,16.029,15.6015,15.2581,GALAXY
20.5014,19.6578,18.9462,18.5178,18.2746,GALAXY
21.7712,20.1206,19.0201,18.5638,18.2226,GALAXY
19.7705,18.7317,18.1411,17.6908,17.5727,GALAXY
20.1294,18.9884,18.509,18.1695,17.9489,GALAXY
20.1345,18.2774,17.306,16.8515,16.4841,GALAXY
20.9074,19.5853,19.0569,18.7365,18.5197,GALAXY
21.2993,19.7424,18.9609,18.4935,18.1119,GALAXY
20.0934,18.9144,18.387,18.0755,17.865,GALAXY
20.3863,19.0397,18.3702,18.0268,17.7867,GALAXY
22.2109,20.3582,19.1219,18.5905,18.1958,GALAXY
21.113,19.6424,18.804,18.4155,18.1219,GALAXY
18.6728,16.6687,15.7862,15.3608,15.0378,GALAXY
20.1503,18.9034,18.1759,17.7045,17.34,GALAXY
19.0697,18.7138,18.6079,18.7432,18.6182,QSO
21.2978,19.7722,19.0501,18.6496,18.4132,GALAXY
18.5639,18.4079,18.1579,18.1302,18.1884,QSO
21.2127,19.6778,18.7229,18.2852,18.0005,GALAXY
20.6355,19.0572,18.2022,17.7566,17.4415,GALAXY
21.0353,19.8638,19.3279,18.9812,18.803,GALAXY
21.2676,19.5068,18.5089,18.0832,17.7535,GALAXY
20.9848,19.2292,18.3161,17.9226,17.5924,GALAXY
